,s0,s1,s2,s_g0,s_g1,s_g2,a,r,r_disco
167,167.0,17.47761291554404,1.3907170287958515,89.0,13.396936205557683,0.08633578554069077,3.0,0.022277765341972178,0.016629205377966198
168,168.0,17.493618191456793,1.066724454446728,89.0,13.396936205557683,0.08633578554069077,2.0,-0.030129780460708522,-0.03424718893386848
169,169.0,17.49681924663935,1.4019259395769046,89.0,13.396936205557683,0.08633578554069077,2.0,-0.04165715976879303,-0.034494216782358006
170,170.0,17.497459457675856,1.8689662366029403,89.0,13.396936205557683,0.08633578554069077,2.0,-0.044938474150457014,-0.02160832264042206
171,171.0,17.497587499883164,2.362374296008145,89.0,13.396936205557683,0.08633578554069077,0.0,-0.03327226539366282,0.168087344451796
172,172.0,17.897613108324638,2.4610559078891825,89.0,13.396936205557683,0.08633578554069077,1.0,0.012979117371186677,0.24785245690717106
173,173.0,17.57761823001292,2.4807922302653918,89.0,13.396936205557683,0.08633578554069077,1.0,0.027735440318639865,0.2369003865284773
174,174.0,17.113619254350564,2.4847394947406354,89.0,13.396936205557683,0.08633578554069077,2.0,-0.03656152918836114,0.18971186225281125
175,175.0,17.020819459218078,2.8855289476356827,89.0,13.396936205557683,0.08633578554069077,2.0,-0.05190450560193391,0.08958721461350386
176,176.0,17.002259500191595,3.3656868382146943,89.0,13.396936205557683,0.08633578554069077,0.0,-0.017134794056425484,0.13198693241127354
177,177.0,17.39854750838631,3.461718416330495,13.0,14.0,7.6249999998976,1.0,-0.02336310575866629,-0.02336310575866629
178,178.0,17.07780511002525,3.4809247319536585,13.0,14.0,7.6249999998976,1.0,-0.04173259939831431,0.1709122806794981
179,179.0,16.613656630353045,3.4847659950782894,13.0,14.0,7.6249999998976,0.0,0.019364230110435976,0.2009123711197608
180,180.0,16.92082693441861,3.485534247703219,13.0,14.0,7.6249999998976,1.0,-0.035432876809564695,0.20028116680388264
181,181.0,16.582260995231724,3.485687898228207,13.0,14.0,7.6249999998976,1.0,-0.06315030911430969,0.22513731168060022
182,182.0,16.114547807394356,3.485718628333201,13.0,14.0,7.6249999998976,1.0,-0.09845120879202773,0.27498511243062335
183,183.0,15.621005169826883,3.4857247743541997,13.0,14.0,7.6249999998976,1.0,-0.22392238050096147,0.3932658112494606
184,184.0,15.122296642313376,3.485726003558396,4.0,14.0,12.124800000000008,0.0,0.1924147578648614,0.1924147578648614
185,185.0,15.42255493681068,3.485726249399237,15.0,14.0,6.624999999995907,1.0,-0.10388526093653605,-0.10388526093653605
186,186.0,15.082606595710143,3.4857262985674087,15.0,14.0,6.624999999995907,2.0,-0.05518428777837736,0.19627091990874015
187,187.0,15.014616927490035,3.885726308401045,15.0,14.0,6.624999999995907,3.0,0.5457627786431231,0.3204554600378384
188,188.0,15.001018993846028,3.565726310367774,88.0,13.297716575887286,0.4855677859470151,2.0,-0.2089234074529273,-0.2089234074529273
189,189.0,14.998299407117234,3.90172631076112,25.0,14.0,1.6250000000000178,0.0,0.0307172121087817,0.0307172121087817
190,190.0,15.397755489771466,3.968926310839791,25.0,14.0,1.6250000000000178,1.0,-0.059259366752494436,-0.16207392903690637
191,191.0,15.0776467063023,3.982366310855525,25.0,14.0,1.6250000000000178,1.0,-0.0681015493996242,0.1206581478833812
192,192.0,14.613624949608482,3.9850543108586756,25.0,14.0,1.6250000000000178,3.0,0.11028620309989334,0.2089117312076835
193,193.0,14.520820598269705,3.585591910859307,25.0,14.0,1.6250000000000178,3.0,0.11250045466344583,0.19600027983473212
194,194.0,14.502259728001935,3.1056994308594366,25.0,14.0,1.6250000000000178,2.0,-0.08651558345600402,0.011986979734309164
195,195.0,14.49854755394838,3.4097209348594593,25.0,14.0,1.6250000000000178,1.0,0.03646545302202775,0.06115971599290834
196,196.0,14.097805119137657,3.4705252356594674,25.0,14.0,1.6250000000000178,1.0,0.09992667631759747,0.045098749046251635
197,197.0,13.617656632175514,3.482686095819467,25.0,14.0,1.6250000000000178,0.0,-0.08442789143700677,0.03578644850150696
198,198.0,13.921626934783077,3.4851182678514636,25.0,14.0,1.6250000000000178,2.0,-0.1191675063304467,0.050326236667311314
199,199.0,13.982420995304594,3.8856047022578633,25.0,14.0,1.6250000000000178,3.0,0.06168002633027664,0.27305965069630567
200,200.0,13.994579807408904,3.565701989139143,25.0,14.0,1.6250000000000178,0.0,-0.07135271458563425,0.21291013314195922
201,201.0,14.397011569829765,3.5017214465154023,25.0,14.0,1.6250000000000178,3.0,0.696021732867931,0.20404719720143882
202,202.0,14.477497922313944,3.0889253379906556,140.0,16.99358751043785,2.365080891540151,2.0,-0.01061349200901085,-0.01061349200901085
203,203.0,14.493595192810773,3.4063661162857084,140.0,16.99358751043785,2.365080891540151,2.0,-0.03801409804575512,-0.41695044443563445
204,204.0,14.496814646910138,3.8698542719447193,140.0,16.99358751043785,2.365080891540151,3.0,0.020298225824248728,-0.35424700864028885
205,205.0,14.497458537730019,3.562551903076523,140.0,16.99358751043785,2.365080891540151,2.0,-0.03251379651234526,-0.39617460651294556
